"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction"
"Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","1/117",0.126300854531936,0.176728490757385,0,0,7.78252351097179,16.1027297711303,"DEFA5","GO_Biological_Process_2023","Positive"
"Regulation Of Protein Binding (GO:0043393)","1/118",0.127311519408163,0.176728490757385,0,0,7.71561771561772,15.9028007712284,"STK3","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cell Cycle Process (GO:0090068)","1/118",0.127311519408163,0.176728490757385,0,0,7.71561771561772,15.9028007712284,"NDC80","GO_Biological_Process_2023","Positive"
"Regulation Of Protein Catabolic Process (GO:0042176)","1/122",0.131343007462543,0.17921838054669,0,0,7.45905334335086,15.1414531223254,"RNF41","GO_Biological_Process_2023","Positive"
"Protein Localization To Nucleus (GO:0034504)","1/122",0.131343007462543,0.17921838054669,0,0,7.45905334335086,15.1414531223254,"STK3","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Growth (GO:0045926)","1/124",0.133352065146115,0.17921838054669,0,0,7.3370288248337,14.7823708444845,"IP6K2","GO_Biological_Process_2023","Positive"
"Cellular Response To Lipopolysaccharide (GO:0071222)","1/124",0.133352065146115,0.17921838054669,0,0,7.3370288248337,14.7823708444845,"DEFA5","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Defense Response (GO:0031349)","1/124",0.133352065146115,0.17921838054669,0,0,7.3370288248337,14.7823708444845,"OSM","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Cell Growth (GO:0030308)","1/125",0.134354926532257,0.179423351255103,0,0,7.2774926686217,14.6078947117474,"IP6K2","GO_Biological_Process_2023","Positive"
"Protein-Containing Complex Organization (GO:0043933)","1/126",0.135356677793767,0.179624270531351,0,0,7.21890909090909,14.4366770665603,"FGG","GO_Biological_Process_2023","Positive"
"Protein Homooligomerization (GO:0051260)","1/129",0.138355282907338,0.182456029334052,0,0,7.04865056818182,13.9417401559299,"DEFA5","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)","1/130",0.139352605587623,0.182629812291853,0,0,6.99365750528541,13.7827353318548,"OSM","GO_Biological_Process_2023","Positive"
"Synapse Organization (GO:0050808)","1/131",0.140348824050719,0.182800011572232,0,0,6.93951048951049,13.6265918082892,"C1QC","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Cell Motility (GO:2000146)","1/133",0.142337952953321,0.184253423761661,0,0,6.83367768595041,13.3226038401352,"RNF41","GO_Biological_Process_2023","Positive"
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","1/134",0.143330865708043,0.184407394295105,0,0,6.78195488721805,13.1746226822655,"IGHM","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Wnt Signaling Pathway (GO:0030178)","1/140",0.14926529207402,0.190878646227989,0,0,6.48724656638326,12.3389380569873,"STK3","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Protein Metabolic Process (GO:0051248)","1/147",0.15613909305252,0.198465955626999,0,0,6.17403486924035,11.4652324337733,"DNAJC1","GO_Biological_Process_2023","Positive"
"protein-RNA Complex Assembly (GO:0022618)","1/150",0.159068716522922,0.200979037043932,0,0,6.04881025015253,11.1202476352334,"GEMIN7","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Response To External Stimulus (GO:0032103)","1/155",0.163929815349397,0.205888041897159,0,0,5.85094451003542,10.5803618264268,"OSM","GO_Biological_Process_2023","Positive"
"Response To Lipopolysaccharide (GO:0032496)","1/159",0.167799330316109,0.209500939033722,0,0,5.70166858457998,10.1774013136633,"DEFA5","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Cell Migration (GO:0030336)","1/163",0.171651711513334,0.21305006546655,0,0,5.55976430976431,9.7979047482539,"RNF41","GO_Biological_Process_2023","Positive"
"Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)","1/172",0.180257298735756,0.222422748732425,0,0,5.26475279106858,9.0204695493575,"NECTIN4","GO_Biological_Process_2023","Positive"
"Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)","1/179",0.186891343269342,0.22909338583452,0,0,5.05592441266599,8.47993739946253,"FGG","GO_Biological_Process_2023","Positive"
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)","1/180",0.187834861371431,0.22909338583452,0,0,5.0274250888776,8.40682051258573,"GEMIN7","GO_Biological_Process_2023","Positive"
"Phosphate-Containing Compound Metabolic Process (GO:0006796)","1/184",0.191598472034143,0.232340675857496,0,0,4.91654247391952,8.12386561524014,"IP6K2","GO_Biological_Process_2023","Positive"
"Regulation Of Apoptotic Process (GO:0042981)","2/705",0.193746293468632,0.233602673839322,0,0,2.61112240059608,4.28538907539862,"STK3;IP6K2","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Metabolic Process (GO:0051247)","1/196",0.202789471319089,0.243116923001863,0,0,4.61118881118881,7.35755257669388,"RNF41","GO_Biological_Process_2023","Positive"
"Regulation Of Canonical Wnt Signaling Pathway (GO:0060828)","1/207",0.212917586122392,0.253475243355457,0,0,4.36253309796999,6.74818479269535,"STK3","GO_Biological_Process_2023","Positive"
"Protein Stabilization (GO:0050821)","1/208",0.213832195816452,0.253475243355457,0,0,4.34123847167325,6.69663689356076,"STK3","GO_Biological_Process_2023","Positive"
"mRNA Splicing, Via Spliceosome (GO:0000398)","1/211",0.216569929408784,0.255286341370131,0,0,4.27857142857143,6.54553734774509,"GEMIN7","GO_Biological_Process_2023","Positive"
"mRNA Processing (GO:0006397)","1/214",0.219298542294468,0.255988533818371,0,0,4.21766965428937,6.39955987908919,"GEMIN7","GO_Biological_Process_2023","Positive"
"Regulation Of Cell Population Proliferation (GO:0042127)","2/766",0.219592059815759,0.255988533818371,0,0,2.39503864372974,3.63083961059897,"OSM;RNF41","GO_Biological_Process_2023","Positive"
"Proteasomal Protein Catabolic Process (GO:0010498)","1/220",0.224728521920118,0.260536912775521,0,0,4.10087173100872,6.1220362897499,"RNF41","GO_Biological_Process_2023","Positive"
"Protein Polyubiquitination (GO:0000209)","1/226",0.230122365748309,0.261676471680245,0,0,3.99030303030303,5.86233010047797,"RNF41","GO_Biological_Process_2023","Positive"
"Regulation Of Cell Growth (GO:0001558)","1/227",0.23101784266201,0.261676471680245,0,0,3.97244569589702,5.82066709319262,"IP6K2","GO_Biological_Process_2023","Positive"
"Cellular Response To Lipid (GO:0071396)","1/228",0.231912323242682,0.261676471680245,0,0,3.9547456948338,5.77944912737027,"DEFA5","GO_Biological_Process_2023","Positive"
"Chromatin Remodeling (GO:0006338)","1/228",0.231912323242682,0.261676471680245,0,0,3.9547456948338,5.77944912737027,"MYSM1","GO_Biological_Process_2023","Positive"
"Apoptotic Process (GO:0006915)","1/228",0.231912323242682,0.261676471680245,0,0,3.9547456948338,5.77944912737027,"STK3","GO_Biological_Process_2023","Positive"
"Regulation Of Inflammatory Response (GO:0050727)","1/240",0.242568760363977,0.272244725727655,0,0,3.75389882084443,5.31728529138903,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of ERK1 And ERK2 Cascade (GO:0070372)","1/244",0.246089371509812,0.274734695177621,0,0,3.69135802469136,5.17550731545339,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)","1/246",0.247843801992628,0.275237064318128,0,0,3.660853432282,5.10673151758439,"STK3","GO_Biological_Process_2023","Positive"
"Cytokine-Mediated Signaling Pathway (GO:0019221)","1/257",0.257423578567865,0.284378927109003,0,0,3.50159801136364,4.75178190132907,"OSM","GO_Biological_Process_2023","Positive"
"Cellular Component Assembly (GO:0022607)","1/260",0.260015921242021,0.285746663448262,0,0,3.46051246051246,4.6613532441335,"FGG","GO_Biological_Process_2023","Positive"
"Chromatin Organization (GO:0006325)","1/268",0.266886583163356,0.291777559831441,0,0,3.35546475995914,4.43233907503844,"MYSM1","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)","2/938",0.293806862044342,0.319552824182249,0,0,1.93742368742369,2.37301980733484,"OSM;MYSM1","GO_Biological_Process_2023","Positive"
"Protein Transport (GO:0015031)","1/313",0.304411397164468,0.329388742572835,0,0,2.86494755244755,3.40749760338611,"FGG","GO_Biological_Process_2023","Positive"
"Intracellular Protein Transport (GO:0006886)","1/325",0.314103393355286,0.338141918356966,0,0,2.75715488215488,3.19287653009006,"STK3","GO_Biological_Process_2023","Positive"
"Protein-Containing Complex Assembly (GO:0065003)","1/328",0.316506132320809,0.33899895390706,0,0,2.73144286905755,3.14228646254248,"FGG","GO_Biological_Process_2023","Positive"
"Protein Modification By Small Protein Conjugation (GO:0032446)","1/364",0.344718238077903,0.36735125370928,0,0,2.45604808414726,2.6157597256375,"RNF41","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Phosphorylation (GO:0001934)","1/377",0.354629468028658,0.376014159568074,0,0,2.36955996131528,2.45647965421648,"OSM","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Multicellular Organismal Process (GO:0051240)","1/387",0.362155748533974,0.382074314703342,0,0,2.30699481865285,2.34317060857727,"FGG","GO_Biological_Process_2023","Positive"
"Phosphorylation (GO:0016310)","1/429",0.39285924131682,0.410021412608728,0,0,2.07614698385726,1.93975221539038,"STK3","GO_Biological_Process_2023","Positive"
"Nervous System Development (GO:0007399)","1/433",0.395708494284055,0.410021412608728,0,0,2.05650252525253,1.90653714653312,"RBFOX1","GO_Biological_Process_2023","Positive"
"Protein Ubiquitination (GO:0016567)","1/434",0.396418806503225,0.410021412608728,0,0,2.05164812093219,1.89835725051436,"RNF41","GO_Biological_Process_2023","Positive"
"Regulation Of Cell Migration (GO:0030334)","1/434",0.396418806503225,0.410021412608728,0,0,2.05164812093219,1.89835725051436,"RNF41","GO_Biological_Process_2023","Positive"
"Positive Regulation Of DNA-templated Transcription (GO:0045893)","2/1243",0.423058440092667,0.435440638339281,0,0,1.43785733471471,1.23690951565467,"OSM;MYSM1","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","1/483",0.430262332020165,0.440705592506091,0,0,1.83845718596756,1.55048158667884,"OSM","GO_Biological_Process_2023","Positive"
"Protein Phosphorylation (GO:0006468)","1/500",0.441573947641707,0.450106777547827,0,0,1.77427582437602,1.45031041327831,"STK3","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Intracellular Signal Transduction (GO:1902533)","1/525",0.457819214066447,0.46442237580779,0,0,1.68745662734212,1.31837763573805,"OSM","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cellular Process (GO:0048522)","1/594",0.500344100885141,0.505132082711793,0,0,1.48581940824774,1.02886934179788,"OSM","GO_Biological_Process_2023","Positive"
"Protein Modification Process (GO:0036211)","1/711",0.56525802091368,0.567949725775174,0,0,1.23348271446863,0.703668557306297,"STK3","GO_Biological_Process_2023","Positive"
"Regulation Of Transcription By RNA Polymerase II (GO:0006357)","2/2028",0.692718451422415,0.692718451422415,0,0,0.843839608893903,0.309800217272326,"OSM;MYSM1","GO_Biological_Process_2023","Positive"
"Nuclear Stress Granule (GO:0097165)","1/5",0.00573728911332865,0.109008493153244,0,0,226.965909090909,1171.31850515834,"RBFOX1","GO_Cellular_Component_2023","Positive"
"Endoplasmic Reticulum Tubular Network (GO:0071782)","1/26",0.0294921031126647,0.258749832360578,0,0,36.2763636363636,127.824582690399,"RNF41","GO_Cellular_Component_2023","Positive"
"Secretory Granule Lumen (GO:0034774)","2/316",0.0506249231988338,0.258749832360578,0,0,5.96390658174098,17.7921897222127,"DEFA5;FGG","GO_Cellular_Component_2023","Positive"
"Collagen-Containing Extracellular Matrix (GO:0062023)","2/373",0.0678586584859227,0.258749832360578,0,0,5.03298677961751,13.5403867097082,"FGG;C1QC","GO_Cellular_Component_2023","Positive"
"Platelet Alpha Granule Lumen (GO:0031093)","1/66",0.0732460002885256,0.258749832360578,0,0,13.9244755244755,36.397627090159,"FGG","GO_Cellular_Component_2023","Positive"
"Cytoplasmic Stress Granule (GO:0010494)","1/76",0.0838859790374924,0.258749832360578,0,0,12.0618181818182,29.8927653375453,"RBFOX1","GO_Cellular_Component_2023","Positive"
"Platelet Alpha Granule (GO:0031091)","1/89",0.0975433655997771,0.258749832360578,0,0,10.2732438016529,23.9105457782376,"FGG","GO_Cellular_Component_2023","Positive"
"Golgi Lumen (GO:0005796)","1/100",0.108947297836033,0.258749832360578,0,0,9.1267217630854,20.2329475165344,"DEFA5","GO_Cellular_Component_2023","Positive"
"Cytoplasmic Vesicle Lumen (GO:0060205)","1/115",0.124276165084217,0.262360792955568,0,0,7.91985645933014,16.5148731737652,"DEFA5","GO_Cellular_Component_2023","Positive"
"Adherens Junction (GO:0005912)","1/150",0.159068716522922,0.302230561393552,0,0,6.04881025015253,11.1202476352334,"NECTIN4","GO_Cellular_Component_2023","Positive"
"trans-Golgi Network (GO:0005802)","1/241",0.243450384534647,0.397559372905665,0,0,3.73806818181818,5.28130016286462,"RBFOX1","GO_Cellular_Component_2023","Positive"
"Intracellular Organelle Lumen (GO:0070013)","2/856",0.258302636431329,0.397559372905665,0,0,2.13259730121557,2.88673355014901,"DEFA5;FGG","GO_Cellular_Component_2023","Positive"
"Endoplasmic Reticulum Lumen (GO:0005788)","1/284",0.280445291803672,0.397559372905665,0,0,3.16318663668487,4.02160150666205,"FGG","GO_Cellular_Component_2023","Positive"
"Cell-Cell Junction (GO:0005911)","1/299",0.292938485298911,0.397559372905665,0,0,3.00167785234899,3.68543797414219,"NECTIN4","GO_Cellular_Component_2023","Positive"
"Intracellular Membrane-Bounded Organelle (GO:0043231)","6/5175",0.57000456630396,0.646624088462795,0,0,1.01109555836264,0.568347841502343,"RBFOX1;DEFA5;MYSM1;NDC80;STK3;IP6K2","GO_Cellular_Component_2023","Positive"
"Nucleolus (GO:0005730)","1/771",0.595336005093604,0.646624088462795,0,0,1.13382526564345,0.588035024687982,"MYSM1","GO_Cellular_Component_2023","Positive"
"Nuclear Lumen (GO:0031981)","1/780",0.59967231006445,0.646624088462795,0,0,1.12020072353834,0.57283919797684,"MYSM1","GO_Cellular_Component_2023","Positive"
"Nucleus (GO:0005634)","5/4487",0.612591241701596,0.646624088462795,0,0,0.960322772571769,0.470613263430984,"RBFOX1;MYSM1;NDC80;STK3;IP6K2","GO_Cellular_Component_2023","Positive"
"Intracellular Non-Membrane-Bounded Organelle (GO:0043232)","1/1195",0.757758105991395,0.757758105991395,0,0,0.715052535404294,0.198349184793829,"MYSM1","GO_Cellular_Component_2023","Positive"
"Protein Tyrosine Kinase Binding (GO:1990782)","2/85",0.00426169712968506,0.106919805366853,0,0,22.8273092369478,124.593458299227,"CEACAM7;RNF41","GO_Molecular_Function_2023","Positive"
"Immunoglobulin Receptor Binding (GO:0034987)","1/7",0.00802338980417862,0.106919805366853,0,0,151.295454545455,730.06022058339,"IGHM","GO_Molecular_Function_2023","Positive"
"Metal-Dependent Deubiquitinase Activity (GO:0140492)","1/8",0.00916455474573022,0.106919805366853,0,0,129.675324675325,608.490047133173,"MYSM1","GO_Molecular_Function_2023","Positive"
"Peptidoglycan Binding (GO:0042834)","1/15",0.01711763141868,0.14977927491345,0,0,64.8149350649351,263.64422882818,"IGHM","GO_Molecular_Function_2023","Positive"
"Phosphotransferase Activity, Phosphate Group As Acceptor (GO:0016776)","1/20",0.0227609834903901,0.159326884432731,0,0,47.7464114832536,180.610706872738,"IP6K2","GO_Molecular_Function_2023","Positive"
"Protein Serine/Threonine Kinase Activator Activity (GO:0043539)","1/56",0.0624878802572221,0.285242972280523,0,0,16.4644628099174,45.6523769349805,"STK3","GO_Molecular_Function_2023","Positive"
"Receptor Tyrosine Kinase Binding (GO:0030971)","1/59",0.0657277952904182,0.285242972280523,0,0,15.6105015673981,42.4954284324617,"RNF41","GO_Molecular_Function_2023","Positive"
"Phosphotransferase Activity, Alcohol Group As Acceptor (GO:0016773)","1/77",0.0849435269348038,0.285242972280523,0,0,11.9025119617225,29.3488406407707,"IP6K2","GO_Molecular_Function_2023","Positive"
"Growth Factor Activity (GO:0008083)","1/85",0.0933619730924318,0.285242972280523,0,0,10.7646103896104,25.5258101331122,"OSM","GO_Molecular_Function_2023","Positive"
"Protein Kinase Activator Activity (GO:0030295)","1/88",0.0964997501676387,0.285242972280523,0,0,10.3918495297806,24.2983769890205,"STK3","GO_Molecular_Function_2023","Positive"
"Single-Stranded DNA Binding (GO:0003697)","1/96",0.104816454902684,0.285242972280523,0,0,9.51291866028708,21.4568114296548,"IGHM","GO_Molecular_Function_2023","Positive"
"Cytokine Receptor Binding (GO:0005126)","1/100",0.108947297836033,0.285242972280523,0,0,9.1267217630854,20.2329475165344,"OSM","GO_Molecular_Function_2023","Positive"
"Kinase Activity (GO:0016301)","1/106",0.115109392544778,0.285242972280523,0,0,8.6025974025974,18.5977175767614,"IP6K2","GO_Molecular_Function_2023","Positive"
"Metal Ion Binding (GO:0046872)","2/521",0.119756051336926,0.285242972280523,0,0,3.57060280759703,7.57788502151743,"REG4;STK3","GO_Molecular_Function_2023","Positive"
"Deubiquitinase Activity (GO:0101005)","1/113",0.122246988120224,0.285242972280523,0,0,8.06209415584416,16.9441983231749,"MYSM1","GO_Molecular_Function_2023","Positive"
"Metallopeptidase Activity (GO:0008237)","1/124",0.133352065146115,0.291707642507127,0,0,7.3370288248337,14.7823708444845,"MYSM1","GO_Molecular_Function_2023","Positive"
"Magnesium Ion Binding (GO:0000287)","1/155",0.163929815349397,0.337502561013464,0,0,5.85094451003542,10.5803618264268,"STK3","GO_Molecular_Function_2023","Positive"
"Cytokine Activity (GO:0005125)","1/178",0.185946776731365,0.361563176977654,0,0,5.08474576271186,8.55404131943519,"OSM","GO_Molecular_Function_2023","Positive"
"Small GTPase Binding (GO:0031267)","1/199",0.205563979502003,0.378670488556321,0,0,4.54063360881543,7.1832730959217,"RNF41","GO_Molecular_Function_2023","Positive"
"GTPase Binding (GO:0051020)","1/225",0.229225891449228,0.399186306371722,0,0,4.00831980519481,5.90444481121249,"RNF41","GO_Molecular_Function_2023","Positive"
"Ubiquitin-Like Protein Transferase Activity (GO:0019787)","1/240",0.242568760363977,0.399186306371722,0,0,3.75389882084443,5.31728529138903,"RNF41","GO_Molecular_Function_2023","Positive"
"ATP Binding (GO:0005524)","1/279",0.276234175118071,0.399186306371722,0,0,3.22089601046436,4.14370304914773,"STK3","GO_Molecular_Function_2023","Positive"
"mRNA Binding (GO:0003729)","1/282",0.278763665193844,0.399186306371722,0,0,3.18602394047234,4.06979809799815,"RBFOX1","GO_Molecular_Function_2023","Positive"
"Adenyl Ribonucleotide Binding (GO:0032559)","1/309",0.301151721952042,0.399186306371722,0,0,2.90274498229044,3.48370350261819,"STK3","GO_Molecular_Function_2023","Positive"
"Ubiquitin Protein Ligase Activity (GO:0061630)","1/311",0.302783381724688,0.399186306371722,0,0,2.88372434017595,3.44529401531398,"RNF41","GO_Molecular_Function_2023","Positive"
"Receptor Ligand Activity (GO:0048018)","1/319",0.309273655276435,0.399186306371722,0,0,2.81003430531732,3.29765612510153,"OSM","GO_Molecular_Function_2023","Positive"
"Ubiquitin-Like Protein Ligase Activity (GO:0061659)","1/319",0.309273655276435,0.399186306371722,0,0,2.81003430531732,3.29765612510153,"RNF41","GO_Molecular_Function_2023","Positive"
"Protein Serine/Threonine Kinase Activity (GO:0004674)","1/342",0.327612861232767,0.399186306371722,0,0,2.61743535057318,2.92085544187951,"STK3","GO_Molecular_Function_2023","Positive"
"Calcium Ion Binding (GO:0005509)","1/346",0.33075436813657,0.399186306371722,0,0,2.58656126482213,2.86171776220506,"REG4","GO_Molecular_Function_2023","Positive"
"Ubiquitin-Protein Transferase Activity (GO:0004842)","1/412",0.38060591551921,0.444040234772411,0,0,2.16390179163902,2.09030918306734,"RNF41","GO_Molecular_Function_2023","Positive"
"Purine Ribonucleoside Triphosphate Binding (GO:0035639)","1/476",0.425541189544907,0.480449730131347,0,0,1.86622009569378,1.59448638084646,"STK3","GO_Molecular_Function_2023","Positive"
"Protein Kinase Binding (GO:0019901)","1/511",0.448778412759014,0.490851388955172,0,0,1.73502673796791,1.39014857799435,"CEACAM7","GO_Molecular_Function_2023","Positive"
"Protein Homodimerization Activity (GO:0042803)","1/662",0.539119491492587,0.571793400067895,0,0,1.32829046898638,0.820641816174785,"DEFA5","GO_Molecular_Function_2023","Positive"
"DNA Binding (GO:0003677)","1/846",0.630140890076551,0.648674445667038,0,0,1.02915545992469,0.475276186429509,"IGHM","GO_Molecular_Function_2023","Positive"
"RNA Binding (GO:0003723)","1/1411",0.814311944984201,0.814311944984201,0,0,0.598549323017408,0.122949070842589,"RBFOX1","GO_Molecular_Function_2023","Positive"
"Staphylococcus aureus infection","3/95",0.00017161069775851,0.00411865674620424,0,0,32.4211956521739,281.100910106145,"DEFA5;FGG;C1QC","KEGG_2021_Human","Positive"
"Complement and coagulation cascades","2/85",0.00426169712968506,0.0511403655562207,0,0,22.8273092369478,124.593458299227,"FGG;C1QC","KEGG_2021_Human","Positive"
"JAK-STAT signaling pathway","2/162",0.0147555359305579,0.118044287444463,0,0,11.7958333333333,49.7328487642658,"OSM;IL20RB","KEGG_2021_Human","Positive"
"Coronavirus disease","2/232",0.0288830263960938,0.173298158376563,0,0,8.1768115942029,28.9827183307107,"FGG;C1QC","KEGG_2021_Human","Positive"
"Cytokine-cytokine receptor interaction","2/295",0.0447526363700854,0.193294577896526,0,0,6.39817974971559,19.8766167067769,"OSM;IL20RB","KEGG_2021_Human","Positive"
"Fat digestion and absorption","1/43",0.0483236444741316,0.193294577896526,0,0,21.5746753246753,65.3676914067237,"CLPS","KEGG_2021_Human","Positive"
"Adherens junction","1/71",0.0785806796212511,0.238890847788561,0,0,12.9266233766234,32.8805394717248,"NECTIN4","KEGG_2021_Human","Positive"
"Pertussis","1/76",0.0838859790374924,0.238890847788561,0,0,12.0618181818182,29.8927653375453,"C1QC","KEGG_2021_Human","Positive"
"Phosphatidylinositol signaling system","1/97",0.105850879528965,0.238890847788561,0,0,9.41335227272727,21.1397908579509,"IP6K2","KEGG_2021_Human","Positive"
"Viral protein interaction with cytokine and cytokine receptor","1/100",0.108947297836033,0.238890847788561,0,0,9.1267217630854,20.2329475165344,"IL20RB","KEGG_2021_Human","Positive"
"Chagas disease","1/102",0.111005875751784,0.238890847788561,0,0,8.94509450945094,19.6628575794324,"C1QC","KEGG_2021_Human","Positive"
"Platelet activation","1/124",0.133352065146115,0.238890847788561,0,0,7.3370288248337,14.7823708444845,"FGG","KEGG_2021_Human","Positive"
"Systemic lupus erythematosus","1/135",0.144322678920115,0.238890847788561,0,0,6.73100407055631,13.0292292180674,"C1QC","KEGG_2021_Human","Positive"
"Gastric cancer","1/149",0.158093257992203,0.238890847788561,0,0,6.08998771498772,11.2334097333281,"REG4","KEGG_2021_Human","Positive"
"Hippo signaling pathway","1/163",0.171651711513334,0.238890847788561,0,0,5.55976430976431,9.7979047482539,"STK3","KEGG_2021_Human","Positive"
"Protein processing in endoplasmic reticulum","1/171",0.179305362191695,0.238890847788561,0,0,5.29598930481283,9.10203141916599,"DNAJC1","KEGG_2021_Human","Positive"
"NOD-like receptor signaling pathway","1/181",0.18877733220113,0.238890847788561,0,0,4.99924242424242,8.33467245433767,"DEFA5","KEGG_2021_Human","Positive"
"RNA transport","1/186",0.193474015760555,0.238890847788561,0,0,4.86289926289926,7.98785698068857,"GEMIN7","KEGG_2021_Human","Positive"
"Neutrophil extracellular trap formation","1/189",0.196279529187069,0.238890847788561,0,0,4.78457446808511,7.79031814928644,"FGG","KEGG_2021_Human","Positive"
"Transcriptional misregulation in cancer","1/192",0.199075706490468,0.238890847788561,0,0,4.70871013802951,7.60018820559212,"DEFA5","KEGG_2021_Human","Positive"
"Endocytosis","1/252",0.253083692809402,0.289238506067888,0,0,3.57225642883013,4.90840551700642,"RNF41","KEGG_2021_Human","Positive"
"Prion disease","1/273",0.271149714792557,0.295799688864608,0,0,3.29294786096257,4.29757408494553,"C1QC","KEGG_2021_Human","Positive"
"MAPK signaling pathway","1/294",0.288797322594514,0.30135372792471,0,0,3.05367669872789,3.79275850618927,"STK3","KEGG_2021_Human","Positive"
"PI3K-Akt signaling pathway","1/354",0.336995314864433,0.336995314864433,0,0,2.52691218130312,2.74848763760797,"OSM","KEGG_2021_Human","Positive"
"MECP2 Regulates Transcription Factors R-HSA-9022707","1/5",0.00573728911332865,0.16313408095995,0,0,226.965909090909,1171.31850515834,"RBFOX1","Reactome_2022","Positive"
"Classical Antibody-Mediated Complement Activation R-HSA-173623","1/6",0.00688096832442016,0.16313408095995,0,0,181.563636363636,904.004599611462,"C1QC","Reactome_2022","Positive"
"Digestion Of Dietary Lipid R-HSA-192456","1/7",0.00802338980417862,0.16313408095995,0,0,151.295454545455,730.06022058339,"CLPS","Reactome_2022","Positive"
"Nectin/Necl Trans Heterodimerization R-HSA-420597","1/7",0.00802338980417862,0.16313408095995,0,0,151.295454545455,730.06022058339,"NECTIN4","Reactome_2022","Positive"
"Alpha-defensins R-HSA-1462054","1/8",0.00916455474573022,0.16313408095995,0,0,129.675324675325,608.490047133173,"DEFA5","Reactome_2022","Positive"
"Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803","1/13",0.0148515749863377,0.16313408095995,0,0,75.625,318.354732825143,"RNF41","Reactome_2022","Positive"
"Creation Of C4 And C2 Activators R-HSA-166786","1/14",0.015985227036696,0.16313408095995,0,0,69.8041958041958,288.716456708675,"C1QC","Reactome_2022","Positive"
"p130Cas Linkage To MAPK Signaling For Integrins R-HSA-372708","1/15",0.01711763141868,0.16313408095995,0,0,64.8149350649351,263.64422882818,"FGG","Reactome_2022","Positive"
"GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194","1/15",0.01711763141868,0.16313408095995,0,0,64.8149350649351,263.64422882818,"FGG","Reactome_2022","Positive"
"MyD88 Deficiency (TLR2/4) R-HSA-5602498","1/17",0.0193787023349684,0.16313408095995,0,0,56.7073863636364,223.630150653724,"FGG","Reactome_2022","Positive"
"Immune System R-HSA-168256","6/1943",0.0197885895762956,0.16313408095995,0,0,3.28707218561147,12.8940330232798,"DEFA5;FGG;IL20RB;RNF41;C1QC;IP6K2","Reactome_2022","Positive"
"Regulation Of TLR By Endogenous Ligand R-HSA-5686938","1/18",0.0205073714570784,0.16313408095995,0,0,53.3689839572192,207.443686227371,"FGG","Reactome_2022","Positive"
"IRAK4 Deficiency (TLR2/4) R-HSA-5603041","1/18",0.0205073714570784,0.16313408095995,0,0,53.3689839572192,207.443686227371,"FGG","Reactome_2022","Positive"
"Initial Triggering Of Complement R-HSA-166663","1/21",0.0238859289927227,0.16313408095995,0,0,45.3568181818182,169.383483507259,"C1QC","Reactome_2022","Positive"
"Common Pathway Of Fibrin Clot Formation R-HSA-140875","1/22",0.0250096358786987,0.16313408095995,0,0,43.1948051948052,159.323783819131,"FGG","Reactome_2022","Positive"
"Digestion R-HSA-8935690","1/23",0.0261321054395983,0.16313408095995,0,0,41.2293388429752,150.264061909767,"CLPS","Reactome_2022","Positive"
"Interleukin-20 Family Signaling R-HSA-8854691","1/26",0.0294921031126647,0.16313408095995,0,0,36.2763636363636,127.824582690399,"IL20RB","Reactome_2022","Positive"
"Integrin Signaling R-HSA-354192","1/27",0.0306096363049702,0.16313408095995,0,0,34.8793706293706,121.604847156372,"FGG","Reactome_2022","Positive"
"Digestion And Absorption R-HSA-8963743","1/28",0.0317259386336052,0.16313408095995,0,0,33.5858585858586,115.892058167056,"CLPS","Reactome_2022","Positive"
